"d_dis","n_farms","region","pro","province","district","loc"
"L1",17,"North","LP","Lamphun","Mueang Lamphun","Mueang Lamphun, Lamphun"
"L5",7,"North","LP","Lamphun","Mae Tha","Mae Tha, Lamphun"
"C4",6,"North","CM","Chiang Mai","Doi Saket","Doi Saket, Chiang Mai"
"C8",3,"North","CM","Chiang Mai","San Pa Tong","San Pa Tong, Chiang Mai"
"C7",2,"North","CM","Chiang Mai","Chai Prakan","Chai Prakan, Chiang Mai"
"C9",2,"North","CM","Chiang Mai","Mae On","Mae On, Chiang Mai"
"L2",2,"North","LP","Lamphun","Ban Thi","Ban Thi, Lamphun"
"NA1",2,"North","NAA","Nan","Thung Chang","Thung Chang, Nan"
"C13",1,"North","CM","Chiang Mai","Fang","Fang, Chiang Mai"
"C5",1,"North","CM","Chiang Mai","San sai","San sai, Chiang Mai"
"CR4",1,"North","CR","Chiang Rai","Mae Sai","Mae Sai, Chiang Rai"
"L3",1,"North","LP","Lamphun","Ban Hong","Ban Hong, Lamphun"
"LP1",1,"North","LPA","Lampang","Hang Chat","Hang Chat, Lampang"
"PR2",1,"North","PR","Phrae","Rong Kwang","Rong Kwang, Phrae"
